epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72095,1.54535,2.95144,1.8538,0.00333,1,0.31094,0.10623,0.95667,3.02918,1.63229,0,0,0
2,15.6018,1.29435,2.64459,1.52751,0.00333,1,0.31094,0.12141,0.8939,3.00886,1.58529,1.9604e-05,1.9604e-05,1.9604e-05
3,21.9315,1.43679,3.34849,1.75663,0.00333,1,0.44889,0.21381,0.80707,3.00481,1.50053,3.8416e-05,3.8416e-05,3.8416e-05
4,28.0564,1.01226,2.59881,1.41599,0.00333,1,0.4375,0.26459,0.74556,2.96623,1.4264,5.6436e-05,5.6436e-05,5.6436e-05
5,34.7162,0.83373,2.61342,1.35873,0.00333,1,0.55644,0.42528,0.70762,2.93454,1.36987,7.3664e-05,7.3664e-05,7.3664e-05
6,40.7686,0.71944,2.43713,1.22061,0.00333,1,0.815,0.59264,0.67249,2.91945,1.33115,9.01e-05,9.01e-05,9.01e-05
7,47.1551,0.89138,2.51014,1.41023,0.00333,1,0.93786,0.64754,0.66314,2.89494,1.29241,0.000105744,0.000105744,0.000105744
8,53.3055,1.01009,2.55144,1.1975,0.00333,1,0.995,0.67607,0.6672,2.86482,1.27605,0.000120596,0.000120596,0.000120596
9,59.5643,0.74475,2.34912,1.18375,0.00333,1,0.995,0.63449,0.62444,2.83464,1.26863,0.000134656,0.000134656,0.000134656
10,65.4321,0.61142,2.19155,1.11399,0.00333,1,0.96167,0.65446,0.59887,2.82605,1.22383,0.000147924,0.000147924,0.000147924
11,71.2013,0.64968,2.08025,1.19311,0.00333,1,0.96167,0.66089,0.541,2.78763,1.14449,0.0001604,0.0001604,0.0001604
12,78.3298,0.64793,1.74051,1.01059,0.00333,1,0.93786,0.72671,0.48754,2.7351,1.10742,0.000172084,0.000172084,0.000172084
13,85.0853,0.64425,1.85935,1.11465,0.00333,1,0.93786,0.75197,0.43532,2.69135,1.0518,0.000182976,0.000182976,0.000182976
14,92.6804,0.63603,1.69001,1.07305,0.00333,1,0.88071,0.70683,0.41965,2.60582,1.05488,0.000193076,0.000193076,0.000193076
15,99.2732,0.69647,1.61004,1.21255,0.00333,1,0.88071,0.69458,0.39656,2.55529,1.05994,0.000202384,0.000202384,0.000202384
16,105.49,0.44511,1.28357,1.02818,0.0096,1,0.92833,0.77024,0.42119,2.48532,1.05775,0.0002109,0.0002109,0.0002109
17,111.926,0.47467,1.13038,1.02674,0.76792,0.67168,0.92833,0.72991,0.4697,2.43604,1.04905,0.000218624,0.000218624,0.000218624
18,118.269,0.49197,1.13434,1.00762,0.76792,0.67168,0.92833,0.72991,0.4697,2.43604,1.04905,0.000225556,0.000225556,0.000225556
19,125.124,0.86315,1.6327,1.41607,1,0.48756,0.995,0.69462,0.49311,2.38266,1.04407,0.000231696,0.000231696,0.000231696
20,131.343,0.45172,0.90023,1.01001,1,0.48756,0.995,0.69462,0.49311,2.38266,1.04407,0.000237044,0.000237044,0.000237044
